Código,Nome,Regional,Prioridade,Morada,Latitude,Longitude,Estado_GPS
113,TORRES NOVAS,94 - TON,Normal,Estrada da Varzea,39.471139,-8.534169,OK
114,ABRANTES,94 - TON,Normal,Av D João I Vale Rãs,39.468772,-8.203542,OK
115,MARINHA GRANDE,94 - TON,Normal,Av 1º de Maio,39.742903,-8.928569,OK
117,CASTELO BRANCO,94 - TON,Normal,R Camilo CasteloBranco18,39.820881,-7.486308,OK
119,AMADORA - R DE ANGOLA,11 - LOU,Normal,"R de Angola, n13",38.7592396,-9.2438885,OK
123,TORRES VEDRAS,11 - LOU,Normal,R António AugustoCabral,39.081923,-9.264010,OK
125,LOURES,11 - LOU,Normal,R G. Lt1 Vinha GrandeAreeira,38.826667,-9.165278,OK
127,LOURES - PORTELA,11 - LOU,Normal,Qta da Vitória - R Vasco Gama,38.785164,-9.116781,OK
129,SINTRA - TAPADA MERCES,11 - LOU,Normal,Estr. de Mercês-Algueirão,38.800327,-9.325723,OK
137,ALCOBAÇA,94 - TON,Normal,R de Leiria,39.547642,-8.967203,OK
138,PENICHE,94 - TON,Normal,R Dr. Azeredo Perdigão,39.365628,-9.380628,OK
139,RIO MAIOR,94 - TON,Normal,Av Dr Mário Soares,39.336908,-8.930644,OK
141,ODIVELAS - CANECAS,11 - LOU,Normal,Estrada de Montemor,38.814444,-9.2149999,OK
142,V.F.XIRA - P.STA.IRIA,11 - LOU,Normal,"EN 10, km 134,7",38.852222,-9.074444,OK
144,V.F.XIRA - ALVERCA,11 - LOU,Normal,R de Santa Maria,38.892095,-9.038755,OK (Manual)
145,PORTALEGRE,94 - TON,Normal,R Prof. Angelo Monteiro,39.2795913,-7.4313855,OK
148,LISBOA - AV. C.E.G.,11 - LOU,Normal,Av Cor Eduardo Galhardo,38.729750,-9.126485,OK (Manual)
149,LISBOA - XABREGAS,11 - LOU,Normal,"R Bispo de Coxim, n1",38.725278,-9.112222,OK
153,CASCAIS - ALCOITÃO,11 - LOU,Normal,"Av da República, n2562",38.7352133,-9.3977743,OK
155,LISBOA - R J.FARINHA,11 - LOU,Normal,"Rua José Farinha, n21",38.749556,-9.192078,OK (Manual)
157,SALVATERRA DE MAGOS,94 - TON,Normal,EN 118,39.0225342,-8.7939071,OK
158,SASSOEIROS,11 - LOU,Normal,"R Luis de Camões, n8",38.701667,-9.326944,OK
159,ODIVELAS - ARROJA,11 - LOU,Normal,Av das Acácias,38.7957222,-9.1987537,OK
163,PONTE DE SÔR,94 - TON,Normal,R de Angola ,39.258147,-8.016239,OK
166,LISBOA - RIO JANEIRO,11 - LOU,Normal,"Av Rio de Janeiro, n26",38.752311,-9.143892,OK (Manual)
168,SANTAREM,94 - TON,Normal,Av Bernardo Santareno,39.239133,-8.697475,OK
173,LISBOA-AV.INF.D.HENRIQUE,11 - LOU,Normal,"Av Inf D Henrique, Lts. 17-18",38.7575001,-9.103611,OK
174,CORUCHE,93 - PAL,Normal,"Quinta das Baleias, Lt18",38.961028,-8.520147,OK
175,BOMBARRAL,94 - TON,Normal,R Mouzinho de Albuquerque,39.264636,-9.155136,OK
176,CALDAS DA RAINHA,94 - TON,Normal,RDrBernardinoACPargana,39.410739,-9.141178,OK
177,OEIRAS - ALGES,11 - LOU,Normal,"R João Chagas, n130",38.706111,-9.238333,OK
178,MAFRA - MALVEIRA,11 - LOU,Normal,R Casal das Queimadas,38.930826,-9.251945,OK
179,SINTRA - ALGUEIRAO,11 - LOU,Normal,Casal Vale do Milho,38.804444,-9.356111,OK
180,LISBOA-R ENG PAULO BARROS,11 - LOU,Normal,"R Eng Paulo de Barros, n1D",38.748722,-9.167814,OK (Manual)
181,MAFRA - ERICEIRA,11 - LOU,Normal,"EN 116 - Capa Rosa, Km 1",38.965116,-9.407725,OK
183,ARRUDA DOS VINHOS,11 - LOU,Normal,EN248-C.Vale Quente,38.993056,-9.078889,OK
185,SINTRA - AGUALVA,11 - LOU,Normal,R Antonio A M Oliveira,38.771111,-9.287778,OK
186,SINTRA - TERRUGEM,11 - LOU,Normal,"Av 29 de Agosto, n80",38.844394,-9.375811,OK
188,LISBOA - R MARIA DA FONTE,11 - LOU,Normal,"R M. Fonte - M. F.Tijolo, Lj37",38.724985,-9.133722,OK (Manual)
189,LISBOA - ALVALAXIA,11 - LOU,Normal,R Professor Fernando Fonseca,38.761685,-9.160654,OK (Manual)
190,LISBOA - AV.LUSIADA,11 - LOU,Normal,"Av. Lusiada BL4, 12D",38.750235,-9.173139,OK
191,LISBOA - VISCONDE VALMOR,11 - LOU,Normal,"Av Visconde Valmor, n68",38.739712,-9.148685,OK (Manual)
201,VISEU - PASCOAL,96 - SAN,Normal,EN 16 -  Lugar de Pascoal,40.692536,-7.929758,OK
204,GONDOMAR - S.PEDRO DA COVA,96 - SAN,Normal,Estrada D. Miguel,41.153783,-8.516492,OK
207,MATOSINHOS - MT.DOS BURGOS,96 - SAN,Normal,R Eng.António Costa Reis,41.184753,-8.632167,OK
214,SANTO TIRSO,96 - SAN,Normal,R do Jornal de St Tirso,41.343512,-8.473521,OK (Manual)
221,OLIVEIRA DE AZEMEIS,96 - SAN,Normal,R Joaq. SilvaLandeau,40.852169,-8.477700,OK
222,POMBAL,94 - TON,Normal,Estrada de Ansião,39.9166001,-8.622292,OK
223,ÁGUEDA,96 - SAN,Normal,R da Misericórdia,40.57765,-8.450683,OK
227,V.N.GAIA - STA.MARINHA,96 - SAN,Normal,Av. dos Descobrimentos,41.119669,-8.626378,OK
228,MATOSINHOS - SRA DA HORA,96 - SAN,Normal,Av. Ant. Domingues Santos,41.1856986,-8.69433,OK
230,PAREDES,96 - SAN,Normal,R D Maria Sotto Mayor Meneses,41.199044,-8.333242,OK
235,FIGUEIRA DA FOZ,94 - TON,Normal,Av. Dom João II,40.167017,-8.884039,OK
241,GUARDA,94 - TON,Normal,R Vila de Manteigas,40.5442281,-7.2612848,OK
242,PORTO - R AGRAMONTE,96 - SAN,Normal,"R Agramonte, n33 ",41.157669,-8.633533,OK
244,FAMALICAO - A.M.H.D.,96 - SAN,Normal,AvMarechalHumbertoDelgado,41.402246,-8.516336,OK
247,MANGUALDE,94 - TON,Normal,Av Combatentes Grande Guerra,40.608972,-7.762319,OK
249,VILA DO CONDE,96 - SAN,Normal,R 5 de Outubro,41.348391,-8.747087,OK
250,V.N.GAIA - S.FELIX MARINHA,96 - SAN,Normal,"R dos Loureiro, n35",41.030578,-8.640747,OK
255,MAIA - NOGUEIRA,96 - SAN,Normal,"R Senhora da Hora, n108",41.2292384,-8.5853783,OK
256,V.N.GAIA - PEDROSO,96 - SAN,Normal,Lgo das Alminhas das Barrancas,41.0463309,-8.5657445,OK
